,X,Y,R,G,B
0,0,0,71,129,183
1,0,1,71,129,183
2,0,2,47,68,86
3,0,3,47,68,86
4,0,4,12,21,45
5,0,5,12,21,45
6,0,6,12,21,45
7,0,7,12,21,45
8,0,8,12,21,45
9,0,9,12,21,45
10,0,10,12,21,45
11,0,11,12,21,45
12,0,12,12,21,45
13,0,13,12,21,45
14,0,14,12,21,45
15,0,15,12,21,45
16,0,16,12,21,45
17,0,17,12,21,45
18,0,18,12,21,45
19,0,19,12,21,45
20,0,20,12,21,45
21,0,21,12,21,45
22,0,22,12,21,45
23,0,23,12,21,45
24,0,24,12,21,45
25,0,25,12,21,45
26,0,26,12,21,45
27,0,27,12,21,45
28,0,28,12,21,45
29,0,29,12,21,45
30,0,30,12,21,45
31,0,31,12,21,45
32,0,32,12,21,45
33,0,33,12,21,45
34,0,34,12,21,45
35,0,35,12,21,45
36,0,36,12,21,45
37,0,37,12,21,45
38,0,38,12,21,45
39,0,39,12,21,45
40,0,40,12,21,45
41,0,41,12,21,45
42,0,42,12,21,45
43,0,43,12,21,45
44,0,44,12,21,45
45,0,45,12,21,45
46,0,46,12,21,45
47,0,47,12,21,45
48,0,48,12,21,45
49,0,49,12,21,45
50,0,50,12,21,45
51,0,51,12,21,45
52,0,52,12,21,45
53,0,53,13,26,78
54,0,54,13,26,78
55,0,55,13,26,78
56,0,56,13,26,78
57,0,57,13,26,78
58,0,58,13,26,78
59,0,59,13,26,78
60,0,60,13,26,78
61,0,61,13,26,78
62,0,62,13,26,78
63,0,63,13,26,78
64,0,64,13,26,78
65,0,65,13,26,78
66,0,66,13,26,78
67,0,67,13,26,78
68,0,68,13,26,78
69,0,69,13,26,78
70,0,70,13,26,78
71,0,71,13,26,78
72,0,72,13,26,78
73,0,73,13,26,78
74,0,74,13,26,78
75,0,75,13,26,78
76,0,76,13,26,78
77,0,77,13,26,78
78,0,78,13,26,78
79,0,79,13,26,78
80,0,80,13,26,78
81,0,81,13,26,78
82,0,82,13,26,78
83,0,83,13,26,78
84,0,84,13,26,78
85,0,85,13,26,78
86,0,86,13,26,78
87,0,87,13,26,78
88,0,88,13,26,78
89,0,89,13,26,78
90,0,90,13,26,78
91,0,91,13,26,78
92,0,92,13,26,78
93,0,93,13,26,78
94,0,94,13,26,78
95,0,95,13,26,78
96,0,96,13,26,78
97,0,97,13,26,78
98,0,98,13,26,78
99,0,99,13,26,78
100,0,100,13,26,78
101,0,101,13,26,78
102,0,102,13,26,78
103,0,103,13,26,78
104,0,104,13,26,78
105,0,105,13,26,78
106,0,106,13,26,78
107,0,107,13,26,78
108,0,108,13,26,78
109,0,109,13,26,78
110,0,110,13,26,78
111,0,111,13,26,78
112,0,112,13,26,78
113,0,113,13,26,78
114,0,114,13,26,78
115,0,115,42,57,120
116,0,116,42,57,120
117,0,117,42,57,120
118,0,118,42,57,120
119,0,119,42,57,120
120,0,120,42,57,120
121,0,121,42,57,120
122,0,122,42,57,120
123,0,123,42,57,120
124,0,124,42,57,120
125,0,125,42,57,120
126,0,126,42,57,120
127,0,127,42,57,120
128,0,128,42,57,120
129,0,129,42,57,120
130,0,130,42,57,120
131,0,131,42,57,120
132,0,132,42,57,120
133,0,133,42,57,120
134,0,134,42,57,120
135,0,135,42,57,120
136,0,136,42,57,120
137,0,137,42,57,120
138,0,138,42,57,120
139,0,139,42,57,120
140,0,140,42,57,120
141,0,141,42,57,120
142,0,142,42,57,120
143,0,143,42,57,120
144,0,144,42,57,120
145,0,145,42,57,120
146,0,146,42,57,120
147,0,147,42,57,120
148,0,148,93,91,139
149,0,149,148,146,208
150,0,150,148,146,208
151,0,151,148,146,208
152,0,152,148,146,208
153,0,153,148,146,208
154,0,154,148,146,208
155,0,155,148,146,208
156,0,156,148,146,208
157,0,157,148,146,208
158,0,158,148,146,208
159,0,159,148,146,208
160,1,0,71,129,183
161,1,1,71,129,183
162,1,2,47,68,86
163,1,3,12,21,45
164,1,4,12,21,45
165,1,5,12,21,45
166,1,6,12,21,45
167,1,7,12,21,45
168,1,8,12,21,45
169,1,9,12,21,45
170,1,10,12,21,45
171,1,11,12,21,45
172,1,12,12,21,45
173,1,13,12,21,45
174,1,14,12,21,45
175,1,15,12,21,45
176,1,16,12,21,45
177,1,17,12,21,45
178,1,18,12,21,45
179,1,19,12,21,45
180,1,20,12,21,45
181,1,21,12,21,45
182,1,22,12,21,45
183,1,23,12,21,45
184,1,24,12,21,45
185,1,25,12,21,45
186,1,26,12,21,45
187,1,27,12,21,45
188,1,28,12,21,45
189,1,29,12,21,45
190,1,30,12,21,45
191,1,31,12,21,45
192,1,32,12,21,45
193,1,33,12,21,45
194,1,34,12,21,45
195,1,35,12,21,45
196,1,36,12,21,45
197,1,37,12,21,45
198,1,38,12,21,45
199,1,39,12,21,45
200,1,40,12,21,45
201,1,41,12,21,45
202,1,42,12,21,45
203,1,43,12,21,45
204,1,44,12,21,45
205,1,45,12,21,45
206,1,46,12,21,45
207,1,47,12,21,45
208,1,48,12,21,45
209,1,49,12,21,45
210,1,50,12,21,45
211,1,51,12,21,45
212,1,52,12,21,45
213,1,53,13,26,78
214,1,54,13,26,78
215,1,55,13,26,78
216,1,56,13,26,78
217,1,57,13,26,78
218,1,58,13,26,78
219,1,59,13,26,78
220,1,60,13,26,78
221,1,61,13,26,78
222,1,62,13,26,78
223,1,63,13,26,78
224,1,64,13,26,78
225,1,65,13,26,78
226,1,66,13,26,78
227,1,67,13,26,78
228,1,68,13,26,78
229,1,69,13,26,78
